,updateDate,code,code_name
437,2020-12-28,sz.002797,第一创业
438,2020-12-28,sz.002807,江阴银行
439,2020-12-28,sz.002815,崇达技术
440,2020-12-28,sz.002818,富森美
441,2020-12-28,sz.002831,裕同科技
442,2020-12-28,sz.002839,张家港行
443,2020-12-28,sz.002867,周大生
444,2020-12-28,sz.002901,大博医疗
445,2020-12-28,sz.002920,德赛西威
446,2020-12-28,sz.002925,盈趣科技
447,2020-12-28,sz.002926,华西证券
448,2020-12-28,sz.002936,郑州银行
449,2020-12-28,sz.002941,新疆交建
450,2020-12-28,sz.002946,新乳业
451,2020-12-28,sz.002948,青岛银行
452,2020-12-28,sz.002957,科瑞技术
453,2020-12-28,sz.002966,苏州银行
454,2020-12-28,sz.002985,北摩高科
455,2020-12-28,sz.300001,特锐德
456,2020-12-28,sz.300002,神州泰岳
457,2020-12-28,sz.300009,安科生物
458,2020-12-28,sz.300010,豆神教育
459,2020-12-28,sz.300012,华测检测
460,2020-12-28,sz.300017,网宿科技
461,2020-12-28,sz.300024,机器人
462,2020-12-28,sz.300026,红日药业
463,2020-12-28,sz.300058,蓝色光标
464,2020-12-28,sz.300070,碧水源
465,2020-12-28,sz.300072,三聚环保
466,2020-12-28,sz.300088,长信科技
467,2020-12-28,sz.300113,顺网科技
468,2020-12-28,sz.300115,长盈精密
469,2020-12-28,sz.300133,华策影视
470,2020-12-28,sz.300134,大富科技
471,2020-12-28,sz.300146,汤臣倍健
472,2020-12-28,sz.300166,东方国信
473,2020-12-28,sz.300168,万达信息
474,2020-12-28,sz.300180,华峰超纤
475,2020-12-28,sz.300182,捷成股份
476,2020-12-28,sz.300207,欣旺达
477,2020-12-28,sz.300212,易华录
478,2020-12-28,sz.300223,北京君正
479,2020-12-28,sz.300244,迪安诊断
480,2020-12-28,sz.300257,开山股份
481,2020-12-28,sz.300271,华宇软件
482,2020-12-28,sz.300274,阳光电源
483,2020-12-28,sz.300285,国瓷材料
484,2020-12-28,sz.300296,利亚德
485,2020-12-28,sz.300315,掌趣科技
486,2020-12-28,sz.300316,晶盛机电
487,2020-12-28,sz.300324,旋极信息
488,2020-12-28,sz.300357,我武生物
489,2020-12-28,sz.300376,易事特
490,2020-12-28,sz.300418,昆仑万维
491,2020-12-28,sz.300459,金科文化
492,2020-12-28,sz.300463,迈克生物
493,2020-12-28,sz.300474,景嘉微
494,2020-12-28,sz.300482,万孚生物
495,2020-12-28,sz.300496,中科创达
496,2020-12-28,sz.300595,欧普康视
497,2020-12-28,sz.300618,寒锐钴业
498,2020-12-28,sz.300630,普利制药
499,2020-12-28,sz.300699,光威复材
